City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
159,Mount Gambier,-37.8333,140.7667,51.71,82,100,12.66,AU,2021-10-12 20:52:03
160,Morgan City,29.6994,-91.2068,88.0,66,20,8.05,US,2021-10-12 20:52:04
161,Urucara,-2.5364,-57.76,93.92,36,85,1.52,BR,2021-10-12 20:52:04
162,Banjar,-8.19,114.9675,75.06,83,84,6.64,ID,2021-10-12 20:52:05
163,Melilla,35.2937,-2.9383,70.0,82,20,6.91,ES,2021-10-12 20:52:05
164,Chapais,49.7834,-74.8492,65.98,88,100,2.64,CA,2021-10-12 20:52:06
165,Challakere,14.3167,76.65,71.33,92,100,11.25,IN,2021-10-12 20:52:06
166,Mehamn,71.0357,27.8492,42.75,75,75,12.66,NO,2021-10-12 20:52:07
167,Berlevag,70.8578,29.0864,42.8,81,75,21.85,NO,2021-10-12 20:52:07
168,Ust-Kuyga,70.0167,135.6,21.83,94,100,5.86,RU,2021-10-12 20:52:07
169,Qingdao,36.0986,120.3719,51.4,93,1,2.24,CN,2021-10-12 20:50:14
170,Richards Bay,-28.783,32.0377,69.62,68,46,9.4,ZA,2021-10-12 20:52:08
171,Cabo San Lucas,22.8909,-109.9124,82.51,76,100,7.0,MX,2021-10-12 20:52:09
172,Novyy Urengoy,66.0833,76.6333,25.52,77,96,10.83,RU,2021-10-12 20:52:09
173,Roald,62.5833,6.1333,44.33,70,40,5.75,NO,2021-10-12 20:52:10
174,Kavieng,-2.5744,150.7967,83.01,76,99,14.72,PG,2021-10-12 20:52:10
175,Kirakira,-10.4544,161.9205,81.66,78,53,4.97,SB,2021-10-12 20:52:11
176,Avarua,-21.2078,-159.775,77.05,73,75,10.36,CK,2021-10-12 20:52:11
177,Bambous Virieux,-20.3428,57.7575,73.65,94,40,4.61,MU,2021-10-12 20:52:11
178,Thompson,55.7435,-97.8558,46.56,87,90,8.05,CA,2021-10-12 20:52:12
179,Mugur-Aksy,50.35,90.5,13.1,88,85,7.16,RU,2021-10-12 20:52:12
180,Butaritari,3.0707,172.7902,81.27,69,45,6.51,KI,2021-10-12 20:52:13
181,Alta Floresta,-9.8756,-56.0861,91.22,55,20,3.44,BR,2021-10-12 20:52:13
182,Ilulissat,69.2167,-51.1,21.04,80,31,4.23,GL,2021-10-12 20:52:14
183,Tomatlan,19.9333,-105.25,86.14,69,100,9.66,MX,2021-10-12 20:52:14
184,Urbana,40.1106,-88.2073,76.05,53,1,5.01,US,2021-10-12 20:50:51
185,Mwense,-10.3845,28.698,75.81,44,86,7.99,ZM,2021-10-12 20:52:15
