City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
618,Anito,PH,79.72,broken clouds,15.2206,121.4111,The Chairmans Residence
619,Luanda,AO,62.67,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
620,Diego De Almagro,CL,50.11,scattered clouds,-53.15,-70.9167,Hotel Dreams Del Estrecho
621,Sonoita,MX,89.08,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
622,Izumo,JP,55.8,light rain,35.7333,140.8333,Hotel Sunrise Choshi
624,Encantado,BR,60.93,scattered clouds,-30.1811,-50.2056,Hotel Castelo
625,Melilla,ES,64.13,broken clouds,43.6702,-7.4101,Hotel Spa Galatea
626,Kaohsiung,TW,76.03,scattered clouds,22.6163,120.3133,御宿商旅-中山館
628,Payo,PH,79.72,broken clouds,15.2206,121.4111,The Chairmans Residence
629,Uttaradit,TH,71.69,overcast clouds,17.6129,99.2161,Nakornthoen Hotel
630,Great Yarmouth,GB,57.16,overcast clouds,58.2093,-6.3865,Caladh Inn
631,Porto Novo,CV,80.08,clear sky,14.8961,-24.4956,Hotel Xaguate
633,Linapacan,PH,79.72,broken clouds,15.2206,121.4111,The Chairmans Residence
634,Wahran,MR,83.77,overcast clouds,20.5022,-10.0711,
637,Dipkarpaz,CY,69.71,scattered clouds,34.7667,32.4167,Elysium Hotel
638,Cartagena,ES,64.13,broken clouds,43.6702,-7.4101,Hotel Spa Galatea
639,Tiznit,MA,66.45,clear sky,35.174,-2.9287,Hôtel La Giralda
641,Luau,AO,62.67,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
642,Kalabagh,PK,77.7,clear sky,32.965,71.557,Paracha nimko shop
643,Dhidhdhoo,MV,81.57,overcast clouds,-0.6,73.0833,Scoop Guest House
644,Laiagam,PG,84.72,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
645,Youghal,IE,58.77,overcast clouds,52.9989,-7.4728,Conlan House
647,Bonfim,BR,60.93,scattered clouds,-30.1811,-50.2056,Hotel Castelo
648,Farmington,US,80.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
649,Alexandria,US,80.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
650,Dakar,SN,79.23,scattered clouds,12.8833,-14.95,Hôtel Hobbe Chasse
651,Paso De Carrasco,UY,55.98,scattered clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
652,Mega,ET,64.54,few clouds,10.7167,39.8667,Hussen Endris
653,Tezu,IN,71.46,overcast clouds,28.1667,94.7667,Hotel West
655,Sadiqabad,PK,77.7,clear sky,32.965,71.557,Paracha nimko shop
656,Karratha,US,60.89,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
657,Cessnock,US,60.89,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
658,Saint-Georges,GF,82.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
662,Gizo,PT,64.81,overcast clouds,40.1629,-8.3327,Casa Maquia
664,Miranorte,BR,60.93,scattered clouds,-30.1811,-50.2056,Hotel Castelo
665,Holland,US,80.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
666,Cururupu,BR,60.93,scattered clouds,-30.1811,-50.2056,Hotel Castelo
667,Marsabit,KE,70.3,overcast clouds,0.0939,33.9756,Homepark motel
668,Ixtapa,MX,89.08,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
669,Alice Springs,US,60.89,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
670,Phultala,BD,76.01,moderate rain,22.7,89.5167,Shuvra enterprise& cafe
672,Puerto Del Rosario,ES,64.13,broken clouds,43.6702,-7.4101,Hotel Spa Galatea
673,Tillabery,NE,86.38,overcast clouds,18.6853,12.9164,Expeditions Ténére voyages
674,Kaberamaido,UG,68.56,overcast clouds,1.7389,33.1594,"Little Orchard, Kaberamaido"
676,Acapulco,MX,89.08,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
678,Bubaque,GW,78.17,clear sky,12.1667,-14.75,
679,Springbok,ZA,59.41,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
681,Auki,PT,64.81,overcast clouds,40.1629,-8.3327,Casa Maquia
682,College,US,80.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
683,Topeka,US,80.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
684,Santiago,CR,83.98,light rain,9.5201,-84.3225,Beso del Viento
685,Havelock,US,80.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
686,Sibuco,PH,79.72,broken clouds,15.2206,121.4111,The Chairmans Residence
687,Nagapattinam,IN,71.46,overcast clouds,28.1667,94.7667,Hotel West
689,Gorontalo,ID,77.49,overcast clouds,4.1363,96.1285,Kost Pria
690,Tigbao,PH,79.72,broken clouds,15.2206,121.4111,The Chairmans Residence
691,Pomuch,MX,89.08,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
693,Mount Isa,US,60.89,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
695,Chechat,IN,71.46,overcast clouds,28.1667,94.7667,Hotel West
696,Betong,TH,71.69,overcast clouds,17.6129,99.2161,Nakornthoen Hotel
697,Umm Kaddadah,PH,67.64,broken clouds,7.9986,124.2928,Derogongan Residence
699,Rundu,,61.59,scattered clouds,-22.45,18.9667,Goba Lodge
701,Pochutla,MX,89.08,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
703,Robertsport,LR,79.18,moderate rain,6.7533,-11.3686,Kwepunha Retreat
704,Luganville,VU,80.71,overcast clouds,-19.55,169.2667,Tanna Lodge
705,Kavali,IN,71.46,overcast clouds,28.1667,94.7667,Hotel West
706,Warkworth,NZ,70.16,few clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
707,Epinal,FR,62.2,clear sky,45.5,-0.25,Domaine de Pladuc
708,Pacifica,US,80.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
709,Columbus,US,80.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
710,Raga,PH,67.64,broken clouds,7.9986,124.2928,Derogongan Residence
711,Ardahan,TR,66.04,broken clouds,37.0247,35.8175,Ilbeyli Kiz Ogrenci Yurdu
713,Pitimbu,BR,60.93,scattered clouds,-30.1811,-50.2056,Hotel Castelo
714,Mbini,GQ,79.38,light rain,3.4568,8.5547,
715,Antofagasta,CL,50.11,scattered clouds,-53.15,-70.9167,Hotel Dreams Del Estrecho
716,Homer,US,80.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
