City_ID,City,Country,Lat,Lng,Max Temp,Current Description,Humidity,Cloudiness,Wind Speed
439,Bol,SA,18.3851,42.4509,55.92,few clouds,55,14,2.77
440,Tsevie,US,27.9797,-82.3065,82.31,overcast clouds,86,90,0.0
441,Mongomo,GQ,1.8658,10.7689,70.09,broken clouds,100,67,1.99
442,Adiake,CI,4.423,-7.3528,77.31,overcast clouds,85,91,7.18
443,Dapaong,US,27.9797,-82.3065,82.31,overcast clouds,86,90,0.0
444,Abeche,SA,18.3851,42.4509,55.92,few clouds,55,14,2.77
445,Niono,ML,18.4411,1.4078,92.39,broken clouds,19,76,0.76
446,Beboto,SA,18.3851,42.4509,55.92,few clouds,55,14,2.77
447,Koungheul,SN,12.485,-16.5469,82.49,overcast clouds,83,100,4.7
448,Kati,ML,18.4411,1.4078,92.39,broken clouds,19,76,0.76
449,Edea,CM,12.0769,15.0306,82.36,scattered clouds,65,29,2.3
450,Uvira,CD,-2.95,25.95,69.57,light rain,100,100,1.41
451,Bafoulabe,ML,18.4411,1.4078,92.39,broken clouds,19,76,0.76
452,Ikole,NG,7.1065,6.7342,76.06,few clouds,88,17,1.54
453,Gaoua,BF,13.3258,-1.5347,84.16,broken clouds,52,63,3.13
454,Bosobolo,CD,-2.95,25.95,69.57,light rain,100,100,1.41
455,Kinkala,CG,-0.8725,14.8206,73.24,broken clouds,92,59,3.42
456,Kishi,NG,7.1065,6.7342,76.06,few clouds,88,17,1.54
457,Sarh,SA,18.3851,42.4509,55.92,few clouds,55,14,2.77
458,Bida,NG,7.1065,6.7342,76.06,few clouds,88,17,1.54
459,Diofior,SN,12.485,-16.5469,82.49,overcast clouds,83,100,4.7
460,Mongo,SA,18.3851,42.4509,55.92,few clouds,55,14,2.77
461,Duayaw Nkwanta,GH,4.8699,-2.2405,77.63,scattered clouds,86,45,5.35
462,Idenao,CM,12.0769,15.0306,82.36,scattered clouds,65,29,2.3
463,Mayahi,NE,14.3188,2.0866,88.3,broken clouds,39,76,4.38
464,Babanusah,SS,8.5332,28.1004,79.23,few clouds,61,18,3.78
465,Nanga Eboko,CM,12.0769,15.0306,82.36,scattered clouds,65,29,2.3
466,Bafata,GW,11.2833,-15.8333,82.69,overcast clouds,74,100,9.33
467,Tera,NE,14.3188,2.0866,88.3,broken clouds,39,76,4.38
468,Katiola,CI,4.423,-7.3528,77.31,overcast clouds,85,91,7.18
469,Madarounfa,NE,14.3188,2.0866,88.3,broken clouds,39,76,4.38
470,Bunia,CD,-2.95,25.95,69.57,light rain,100,100,1.41
471,Oron,NG,7.1065,6.7342,76.06,few clouds,88,17,1.54
472,Dekoa,CF,5.0314,25.1361,69.57,moderate rain,96,57,3.89
473,Butembo,CD,-2.95,25.95,69.57,light rain,100,100,1.41
474,Douentza,ML,18.4411,1.4078,92.39,broken clouds,19,76,0.76
